airline,origin,destination,distance_km,month,day_of_week,dep_hour,weather_score,is_holiday_season,delayed,delay_minutes,passengers_booked,seat_capacity,demand_ratio,price_aed
Etihad,DXB,JNB,6400,5,Sun,18,4.86,False,0,0,216,350,0.619,2800.94
Emirates,DXB,SYD,12000,6,Fri,1,5.35,True,0,0,330,350,0.944,4591.18
Turkish Airlines,DXB,LHR,5500,12,Tue,21,1.34,True,0,0,322,350,0.922,3302.07
Turkish Airlines,DXB,SYD,12000,12,Sun,19,4.18,True,0,0,330,350,0.943,4588.73
Emirates,DXB,FRA,4800,2,Thu,13,4.1,False,0,0,267,350,0.764,2850.0
British Airways,DXB,FRA,4800,12,Fri,7,6.23,True,0,0,274,350,0.783,2889.93
Qatar Airways,DXB,NRT,7900,4,Sat,17,7.33,False,1,19,292,350,0.836,3548.12
Emirates,DXB,BOM,1900,8,Fri,15,5.4,False,0,0,324,350,0.927,2630.46
Turkish Airlines,DXB,BOM,1900,1,Mon,6,2.19,True,0,0,240,350,0.686,2228.42
Emirates,DXB,SYD,12000,1,Wed,2,3.74,True,1,58,284,350,0.813,4213.14
Emirates,DXB,FRA,4800,7,Sat,23,6.43,True,0,0,350,350,1.0,3326.4
Qatar Airways,DXB,SYD,12000,5,Sun,13,5.7,False,0,0,286,350,0.818,4228.8
Emirates,DXB,BOM,1900,10,Tue,12,7.23,False,0,0,222,350,0.636,2145.7
Qatar Airways,DXB,BKK,4900,5,Sun,6,7.22,False,0,0,233,350,0.668,2672.51
Emirates,DXB,SYD,12000,6,Thu,1,2.8,True,0,0,334,350,0.957,4628.49
Etihad,DXB,BKK,4900,11,Tue,22,6.54,False,0,0,255,350,0.731,2800.21
Emirates,DXB,BOM,1900,4,Fri,8,5.69,False,0,0,234,350,0.669,2200.43
Etihad,DXB,LHR,5500,3,Tue,11,6.0,False,0,0,205,350,0.588,2600.53
Qatar Airways,DXB,BKK,4900,1,Sat,16,3.73,True,1,71,290,350,0.831,3004.08
Emirates,DXB,JNB,6400,1,Wed,16,4.9,True,0,0,311,350,0.891,3403.39
Emirates,DXB,LHR,5500,3,Sat,1,3.25,False,0,0,317,350,0.908,3271.04
Qatar Airways,DXB,FRA,4800,11,Wed,16,5.8,False,0,0,285,350,0.816,2955.62
Qatar Airways,DXB,LHR,5500,9,Thu,5,6.18,False,0,0,245,350,0.702,2838.74
Emirates,DXB,NRT,7900,3,Sun,18,5.92,False,1,37,244,350,0.698,3218.09
Qatar Airways,DXB,JNB,6400,1,Wed,17,6.22,True,1,51,245,350,0.702,2985.87
Qatar Airways,DXB,JFK,11000,1,Sat,11,6.5,True,0,0,331,350,0.948,4411.28
Emirates,DXB,SYD,12000,3,Thu,23,8.38,False,0,0,217,350,0.623,3665.64
Turkish Airlines,DXB,BKK,4900,6,Thu,2,5.85,True,1,30,290,350,0.83,3001.97
Emirates,DXB,JFK,11000,6,Wed,15,4.99,True,0,0,281,350,0.804,4013.04
Etihad,DXB,JNB,6400,7,Wed,16,5.63,True,0,0,218,350,0.624,2812.15
Qatar Airways,DXB,CDG,5200,6,Sat,12,6.37,True,0,0,324,350,0.926,3253.76
Etihad,DXB,LHR,5500,12,Sun,0,5.94,True,0,0,289,350,0.827,3102.0
Emirates,DXB,LHR,5500,1,Thu,13,4.66,True,0,0,327,350,0.936,3329.93
Turkish Airlines,DXB,LHR,5500,5,Sun,2,3.58,False,0,0,230,350,0.658,2747.58
Etihad,DXB,JFK,11000,9,Tue,21,5.95,False,0,0,301,350,0.862,4171.88
Qatar Airways,DXB,CDG,5200,7,Tue,9,5.54,True,0,0,321,350,0.917,3234.9
British Airways,DXB,FRA,4800,10,Sun,2,7.99,False,0,0,195,350,0.558,2434.71
Emirates,DXB,BKK,4900,4,Mon,7,8.43,False,1,33,254,350,0.728,2794.92
Etihad,DXB,JFK,11000,7,Sun,21,3.63,True,1,97,306,350,0.875,4210.09
Singapore Airlines,DXB,LHR,5500,4,Tue,5,7.53,False,0,0,148,350,0.424,2256.16
Singapore Airlines,DXB,SIN,5900,7,Thu,5,5.07,True,0,0,270,350,0.772,3054.04
Qatar Airways,DXB,BKK,4900,2,Thu,9,6.57,False,0,0,201,350,0.575,2483.43
Etihad,DXB,FRA,4800,10,Fri,20,6.8,False,0,0,222,350,0.635,2590.12
Emirates,DXB,NRT,7900,1,Sun,1,4.52,True,0,0,316,350,0.905,3714.41
Turkish Airlines,DXB,LHR,5500,7,Sun,4,3.01,True,0,0,350,350,1.0,3465.0
Etihad,DXB,SIN,5900,6,Mon,13,6.05,True,0,0,322,350,0.922,3376.63
Etihad,DXB,SIN,5900,7,Tue,9,5.0,True,0,0,329,350,0.941,3416.85
British Airways,DXB,JNB,6400,7,Tue,16,5.52,True,0,0,336,350,0.961,3557.41
British Airways,DXB,SYD,12000,12,Mon,0,5.72,True,0,0,317,350,0.906,4481.41
Singapore Airlines,DXB,JNB,6400,10,Wed,11,5.68,False,0,0,198,350,0.566,2685.09
Emirates,DXB,JFK,11000,3,Sun,16,5.27,False,0,0,321,350,0.918,4328.82
Emirates,DXB,SYD,12000,9,Sun,3,3.44,False,1,16,311,350,0.889,4432.83
Etihad,DXB,BOM,1900,4,Tue,4,8.12,False,1,38,253,350,0.723,2290.57
Etihad,DXB,FRA,4800,8,Sun,4,6.15,False,0,0,208,350,0.597,2513.27
Emirates,DXB,LHR,5500,1,Sat,19,4.22,True,1,37,350,350,1.0,3465.0
Emirates,DXB,BOM,1900,3,Thu,8,7.49,False,1,53,222,350,0.634,2142.35
Qatar Airways,DXB,SIN,5900,5,Wed,11,6.81,False,0,0,177,350,0.506,2483.95
Singapore Airlines,DXB,BOM,1900,7,Fri,20,3.95,True,0,0,325,350,0.929,2633.68
Etihad,DXB,FRA,4800,11,Wed,17,7.14,False,1,39,230,350,0.66,2640.81
Emirates,DXB,BOM,1900,2,Wed,1,6.73,False,1,207,207,350,0.593,2072.85
Singapore Airlines,DXB,CDG,5200,12,Sun,18,5.47,True,0,0,350,350,1.0,3405.6
Turkish Airlines,DXB,FRA,4800,3,Fri,12,9.17,False,0,0,175,350,0.5,2318.83
